datetime	Q_Res_R	Q_Res_S
2017-01-31	5.165314154327424	6.846577843470282
2017-02-01	5.135860834627329	6.781954547646998
2017-02-02	5.112493989389234	6.6890037903706006
2017-02-03	5.109115381728779	6.667213767771481
2017-02-04	5.083865873989042	6.534193616082182
2017-02-05	5.0818833991113435	6.5135369448889175
2017-02-06	5.0818833991113435	6.5135369448889175
2017-02-07	5.0818833991113435	6.5135369448889175
2017-02-08	5.087495651315789	6.458929574009736
2017-02-09	5.088169598880596	6.382533560745469
2017-02-10	5.053403994330454	6.143201783313716
2017-02-11	5.068749738785558	6.0830856868063465
2017-02-12	5.087180248059867	6.039029141769125
2017-02-13	5.123219167134832	6.049353659682023
2017-02-14	5.152855197892939	6.063518921409169
2017-02-15	5.179115415584415	6.062364468375469
2017-02-16	5.178929322703335	5.989692942727326
2017-02-17	5.178920805637982	5.927884382652819
2017-02-18	5.178871289505068	5.914991639840489
2017-02-19	5.178871289505068	5.914991639840489
2017-02-20	5.178871289505068	5.914991639840489
2017-02-21	5.14841207368421	5.742439997233684
2017-02-22	5.135279885566067	5.613091500661276
2017-02-23	5.1126998962527095	5.4127464850281815
2017-02-24	5.098396804464005	5.285265512597926
2017-02-25	5.08747293488669	5.24509153592531
2017-02-26	5.080325213938411	5.051449229116369
2017-02-27	5.075891361092824	4.880809747204739
2017-02-28	5.089907382943144	4.838843226950502
2017-03-01	5.084024590414685	4.764056242184908
2017-03-02	5.0840658586731164	4.755545229407049
2017-03-03	5.0407268078004215	4.596426526984188
2017-03-04	5.042453324458644	4.595329194159744
2017-03-05	5.083500178697807	4.736767713343595
2017-03-06	5.100154204940848	4.839566296932499
2017-03-07	5.1165877764340015	4.919683541505875
2017-03-08	5.178175602971666	5.0724317342584655
2017-03-09	5.197783194684156	5.122923771645496
2017-03-10	5.201117034161491	5.124642274147344
2017-03-11	5.19176986217725	5.117370838416608
2017-03-12	5.222026697682584	5.154473095329003
2017-03-13	5.366524145014044	5.258859331798806
2017-03-14	5.447997944892944	5.340972751537031
2017-03-15	5.398122922077922	5.404338463945595
2017-03-16	5.297147818532818	5.416305637653563
2017-03-17	5.191421167076167	5.3997469134173395
2017-03-18	5.10825828163553	5.452509316999648
2017-03-19	5.0874215361445785	5.52428598669844
2017-03-20	5.14433803067701	5.632197566131523
2017-03-21	5.105375014260249	5.607541749245277
2017-03-22	5.089774368705036	5.629823220623021
2017-03-23	5.148384142086331	5.71220530492554
2017-03-24	5.193509645683454	5.765752292872661
2017-03-25	5.259541844468391	5.839087882837644
2017-03-26	5.34032434375	5.869709787960848
2017-03-27	5.445683255387931	5.970028624563578
2017-03-28	5.501135992443325	6.025366001196474
2017-03-29	5.565342624325297	6.062660178301547
2017-03-30	5.615257269881251	6.099745965483628
2017-03-31	5.610806932203389	6.109479868562928
2017-04-01	5.615333186422018	6.122642850508991
2017-04-02	5.643337961738484	6.161801649308691
2017-04-03	5.6417967470282315	6.17554609089896
2017-04-04	5.620074421619613	6.198575819311665
2017-04-05	5.6542581467855815	6.264629041330361
2017-04-06	5.745356252971768	6.385207740135959
2017-04-07	5.775350331723625	6.502252443359584
2017-04-08	5.777574893387816	6.608779336496285
2017-04-09	5.841566613298663	6.776583048596954
2017-04-10	5.949053589524517	6.948851013445765
2017-04-11	5.995710591753342	7.008414590113299
2017-04-12	6.0531637455423475	7.056584364478455
2017-04-13	6.137156130386329	7.128478773321693
2017-04-14	6.204258308927904	7.192403606032499
2017-04-15	6.210043511981742	7.2513626460612395
2017-04-16	6.220020090275088	7.332265263511816
2017-04-17	6.262760494670352	7.433789002763916
2017-04-18	6.323340331187123	7.539438319297786
2017-04-19	6.399702052933935	7.656783128395979
2017-04-20	6.463649879916318	7.750110297067365
2017-04-21	6.529383391545688	7.841944466377881
2017-04-22	6.6266376779367135	8.02060021379844
2017-04-23	6.83559837147811	8.296294861756827
2017-04-24	6.933174565669701	8.526047985637625
2017-04-25	7.026655176853055	8.688124804385348
2017-04-26	7.070201859442994	8.769052406596172
2017-04-27	7.1425997435555555	8.839559962514222
2017-04-28	7.230714061307901	8.959946247826522
2017-04-29	7.327171259517177	9.091359260327762
2017-04-30	7.434790780151947	9.216106049158121
2017-05-01	7.5574254854227405	9.369225278685132
2017-05-02	7.6875717960199	9.5252509264801
2017-05-03	7.813659801223241	9.658668109401122
2017-05-04	7.905901077720208	9.716538054449224
2017-05-05	7.842714332313965	9.597135666292557
2017-05-06	7.751660238924838	9.440594655220009
2017-05-07	7.730766801166748	9.332297589088478
2017-05-08	7.67344929216152	9.21463721559905
2017-05-09	7.569124300975384	9.072764408529494
2017-05-10	7.489511235801909	8.946537880081326
2017-05-11	7.413120013339263	8.81363838929213
2017-05-12	7.326463269481932	8.6869715965037
2017-05-13	7.284861872068231	8.604607297861406
2017-05-14	7.192400910990388	8.481078230616381
2017-05-15	7.12085322818517	8.383502565816059
2017-05-16	7.094351044596223	8.325682595995179
2017-05-17	7.050913259755618	8.242589796298384
2017-05-18	6.993119628482973	8.1590086086935
2017-05-19	6.95345532674772	8.083547215634878
2017-05-20	6.965351667910447	8.044565899797389
2017-05-21	6.938279068914956	7.977785497628665
2017-05-22	6.858804636167147	7.878515444871758
2017-05-23	6.784512638101983	7.784231168173513
2017-05-24	6.738588687325906	7.718743912832868
2017-05-25	6.68302169520548	7.645702233104109
2017-05-26	6.632477388814015	7.587715842371968
2017-05-27	6.578516145936981	7.522936438452405
2017-05-28	6.518224133202743	7.445419303526608
2017-05-29	6.474057726688103	7.390716690901929
2017-05-30	6.433136532615579	7.34204445939867
2017-05-31	6.3991460998439935	7.305293441539158
2017-06-01	6.357479566420664	7.2532645107749065
2017-06-02	6.348942450738917	7.230208061084052
2017-06-03	6.369697865551425	7.17728556610099
2017-06-04	6.374752737430168	7.187028211893234
2017-06-05	6.346735493482309	7.147373603148665
2017-06-06	6.329182253258846	7.141565087412476
2017-06-07	6.341065592799503	7.252325382462135
2017-06-08	6.378088774053383	7.457967394607697
2017-06-09	6.361244413030117	7.523011721811617
2017-06-10	6.295199101466992	7.466707033800428
2017-06-11	6.141230308071472	7.367212646905114
2017-06-12	6.028169893683553	7.294778694720452
2017-06-13	6.003283806349207	7.220975028912064
2017-06-14	5.963733102785783	7.126810680713737
2017-06-15	5.9348554050592375	7.084046878552353
2017-06-16	5.892122899841019	7.048779966602225
2017-06-17	5.8587700474683535	7.020908620785444
2017-06-18	5.806445001573811	6.947683065809254
2017-06-19	5.794413010852712	6.975418876654573
2017-06-20	5.7479124	6.931762575333537
2017-06-21	5.723792061538461	6.921727992328616
2017-06-22	5.6961802492307685	6.887088523170461
2017-06-23	5.682443215384616	6.864552569991385
2017-06-24	5.682761030769231	6.8841526175276915
2017-06-25	5.680535969230769	6.905212840464616
2017-06-26	5.706421760368663	6.957224411776652
2017-06-27	5.736860199692781	7.015085968068511
2017-06-28	5.79287065437788	7.077071469195085
2017-06-29	5.819136614051378	7.104573636974312
2017-06-30	5.844695625961243	7.122778349287604
2017-07-01	5.913705633373934	7.161369250024969
2017-07-02	6.006922131546893	7.238009696117234
2017-07-03	6.118600210109623	7.331272619120584
2017-07-04	6.266812258751902	7.443831621837138
2017-07-05	6.467478563165906	7.526087252289194
2017-07-06	6.624143266362252	7.531317431575647
2017-07-07	6.762216550989345	7.530192665628616
2017-07-08	6.826492210045663	7.483168354731507
2017-07-09	6.827802593607306	7.409231024100152
2017-07-10	6.894502484018265	7.415365232274885
2017-07-11	6.940186596651446	7.460493445364385
2017-07-12	6.989865315068493	7.462727331996652
