	0
0	30.7066546
1	1.2965093199999997
2	23.3801116
3	5.48227505
4	5.42309107
5	9.808071949999999
6	0.7754155823000001
7	10.523966759999999
8	5.4096826
9	9.26456921
10	5.02096118
11	14.7618063
12	6.2906432599999995
13	5.335728259999998
14	1.2716596838
15	-0.36807426640000007
16	13.9722533
17	3.2420406400000004
18	1.0796074459999998
19	3.1453220400000004
20	5.071127670000001
21	0.8333800352
22	4.609242689999999
23	6.4848523
24	-0.8511804470600002
25	-1.1270278859999998
26	5.187260330000001
27	5.45345065
28	12.33181498
29	16.1515375
30	2.4242258179999996
31	0.1919307484
32	0.05408636600000001
33	8.21328419
34	-1.9467457700000002
35	1.157306735
36	-3.41840323
37	1.648368068
38	0.442166906
39	3.2355556759999997
40	-5.919540830000001
41	-0.26300226349999994
42	0.8930914326000001
43	11.931054399999999
44	-6.3167285500000006
45	4.170979890000001
46	2.12151978
47	-7.781913620000002
48	8.4920043
49	-4.702941269999999
50	-0.1046862945
51	1.595866189
52	17.2758131
53	18.434533
54	-2.7463832100000003
55	3.5759558399999998
56	1.760847
57	9.17140658
58	2.06057179
59	-1.7524258000000004
60	8.959379479999999
61	2.9854946599999996
62	-0.46742321690000005
63	3.30576303
64	-0.889195389
65	-4.02549172
66	10.196782930000001
67	6.3552862999999995
68	1.5164585689999999
69	3.2056198300000007
70	-1.90513339
71	1.3361753310000002
72	-1.072124121
73	7.17177635
74	2.849981127
75	11.5114863
76	5.19007941
77	-1.50164977
78	4.43526663
79	8.98922321
80	2.8822686099999997
81	30.312803000000002
82	8.156904790000002
